PlayerID,Status,TeamID,Team,Jersey,PositionCategory,Position,FirstName,LastName,Height,Weight,BirthDate,College,PhotoUrl,Experience,InjuryStatus,FanDuelPlayerID,DraftKingsPlayerID,FanDuelName,DraftKingsName
20000439,Inactive,,,42,C,C,Nene,Hilario,83,250,9/13/1982 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000439.png,17,,9512,168013,Nene Hilario,Nene Hilario
20000440,Inactive,,,13,C,C,Marcin,Gortat,83,240,2/17/1984 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000440.png,12,,9661,292408,Marcin Gortat,Marcin Gortat
20000441,Active,1,WAS,3,G,SG,Bradley,Beal,75,207,6/28/1993 12:00:00 AM,Florida,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png,8,,15595,606912,Bradley Beal,Bradley Beal
20000442,Active,22,HOU,1,G,PG,John,Wall,75,210,9/6/1990 12:00:00 AM,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png,9,,12332,509456,John Wall,John Wall
20000443,Active,11,CHI,22,F,SF,Otto,Porter,80,198,6/3/1993 12:00:00 AM,Georgetown,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png,7,,15628,609256,Otto Porter,Otto Porter Jr.
20000445,Inactive,,,9,G,PG,Ramon,Sessions,75,190,4/11/1986 12:00:00 AM,Nevada,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000445.png,11,,9605,278479,Ramon Sessions,Ramon Sessions
20000452,Active,11,CHI,17,G,SG,Garrett,Temple,77,195,5/8/1986 12:00:00 AM,LSU,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png,10,,11074,263903,Garrett Temple,Garrett Temple
20000453,Active,5,ORL,31,G,SG,Terrence,Ross,78,206,2/5/1991 12:00:00 AM,Washington,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png,8,,16405,550049,Terrence Ross,Terrence Ross
20000455,Active,21,MEM,17,C,C,Jonas,Valanciunas,83,265,5/6/1992 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png,8,,14503,599780,Jonas Valanciunas,Jonas Valanciunas
20000456,Active,24,SA,10,G,SG,DeMar,DeRozan,78,220,8/7/1989 12:00:00 AM,USC,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png,11,,9714,457594,DeMar DeRozan,DeMar DeRozan
20000457,Active,10,TOR,7,G,PG,Kyle,Lowry,72,196,3/25/1986 12:00:00 AM,Villanova,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png,14,,9535,266394,Kyle Lowry,Kyle Lowry
20000458,Inactive,,,5,F,PF,Amir,Johnson,81,240,5/1/1987 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000458.png,14,,9862,292407,Amir Johnson,Amir Johnson
20000459,Active,28,LAC,23,G,SG,Lou,Williams,73,175,10/27/1986 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000459.png,15,,9662,292401,Lou Williams,Lou Williams
20000460,Active,28,LAC,54,F,PF,Patrick,Patterson,80,235,3/14/1989 12:00:00 AM,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000460.png,10,,12340,399599,Patrick Patterson,Patrick Patterson
20000464,Active,25,DAL,16,F,PF,James,Johnson,79,240,2/20/1987 12:00:00 AM,Wake Forest,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000464.png,11,,9966,398037,James Johnson,James Johnson
20000466,Active,22,HOU,5,F,SF,Bruno,Caboclo,81,218,9/21/1995 12:00:00 AM,None,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000466.png,6,,55058,830646,Bruno Caboclo,Bruno Caboclo
20000467,Inactive,,,92,C,C,Lucas,Nogueira,84,220,7/26/1992 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000467.png,4,,40200,639296,Lucas Nogueira,Lucas Nogueira
20000468,Active,27,LAL,3,F,PF,Anthony,Davis,82,253,3/11/1993 12:00:00 AM,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000468.png,8,Questionable,15755,603096,Anthony Davis,Anthony Davis
20000469,Inactive,,,3,G,SG,Quincy,Pondexter,79,230,3/10/1988 12:00:00 AM,Washington,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000469.png,7,,12357,329825,Quincy Pondexter,Quincy Pondexter
20000470,Inactive,,,3,C,C,Omer,Asik,84,255,7/4/1986 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000470.png,8,,12423,456453,Omer Asik,Omer Asik
20000471,Active,22,HOU,10,G,SG,Eric,Gordon,75,215,12/25/1988 12:00:00 AM,Indiana,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000471.png,12,,9556,401085,Eric Gordon,Eric Gordon
20000472,Inactive,,,12,G,SG,Tyreke,Evans,78,220,9/19/1989 12:00:00 AM,Memphis,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000472.png,10,,9692,464841,Tyreke Evans,Tyreke Evans
20000474,Active,15,MIL,21,G,PG,Jrue,Holiday,75,205,6/12/1990 12:00:00 AM,UCLA,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000474.png,11,,9663,457576,Jrue Holiday,Jrue Holiday
20000475,Inactive,,,33,F,PF,Ryan,Anderson,81,240,5/6/1988 12:00:00 AM,California,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000475.png,12,,9772,329715,Ryan Anderson,Ryan Anderson
20000476,Inactive,,,33,F,SF,Dante,Cunningham,80,230,4/22/1987 12:00:00 AM,Villanova,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000476.png,10,,9940,295799,Dante Cunningham,Dante Cunningham
20000477,Inactive,,,42,C,C,Alexis,Ajinca,86,248,5/6/1988 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000477.png,7,,9804,456449,Alexis Ajinca,Alexis Ajinca
20000478,Inactive,,,22,F,SF,Luke,Babbitt,81,225,6/20/1989 12:00:00 AM,Nevada,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000478.png,8,,12349,462071,Luke Babbitt,Luke Babbitt
20000480,Inactive,,,32,G,PG,Jimmer,Fredette,74,195,2/25/1989 12:00:00 AM,BYU,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000480.png,6,,14508,400661,Jimmer Fredette,Jimmer Fredette
20000482,Active,26,GS,23,F,PF,Draymond,Green,78,230,3/4/1990 12:00:00 AM,Michigan State,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000482.png,8,,15860,468895,Draymond Green,Draymond Green
20000483,Active,30,SAC,40,F,SF,Harrison,Barnes,80,225,5/30/1992 12:00:00 AM,North Carolina,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000483.png,8,,15946,552336,Harrison Barnes,Harrison Barnes
20000484,Inactive,,,12,C,C,Andrew,Bogut,84,260,11/28/1984 12:00:00 AM,Utah,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000484.png,14,,9601,229912,Andrew Bogut,Andrew Bogut
20000485,Active,26,GS,30,G,PG,Stephen,Curry,75,185,3/14/1988 12:00:00 AM,Davidson,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000485.png,11,,9524,338365,Stephen Curry,Stephen Curry
20000486,Active,26,GS,11,G,SG,Klay,Thompson,78,215,2/8/1990 12:00:00 AM,Washington State,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000486.png,8,Out,14509,457611,Klay Thompson,Klay Thompson
20000487,Active,4,MIA,28,F,SF,Andre,Iguodala,78,215,1/28/1984 12:00:00 AM,Arizona,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000487.png,16,,9664,173004,Andre Iguodala,Andre Iguodala
20000488,Inactive,,,34,G,PG,Shaun,Livingston,79,192,9/11/1985 12:00:00 AM,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000488.png,14,,9643,253980,Shaun Livingston,Shaun Livingston
20000491,Inactive,,,5,F,PF,Marreese,Speights,82,255,8/4/1987 12:00:00 AM,Florida,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000491.png,10,,9671,330421,Marreese Speights,Marreese Speights
